Filtre,Date,Description,Sous-description,Type d’opération,Montant,Solde
"Toutes les opérations disponibles (jusqu’à 2 ans), Date de début=2024-04-27","2026-04-27","achat pdv","Gpos Depanneur Chez      Montr ","Débit","-24.18","9540.19"
"","2026-04-27","depot"," ","Crédit","18.60","9564.37"
"","2026-04-27","pmt facture","Pc-Arc (Impots) - Montant Du 38710281","Débit","-1300.72","9545.77"
"","2026-04-27","retrait","Virement Interac Grat. ","Débit","-70.00","10846.49"
"","2026-04-27","achat pdv","Gpos Depanneur Chez      Montr ","Débit","-20.63","10916.49"
"","2026-04-27","achat pdv","Gpos Francois Trembl     Montr ","Débit","-28.17","10937.12"
"","2026-04-27","pmt facture","Pc-Visa Infinite Momentum Scotia 36786217","Débit","-11.49","10965.29"
"","2026-04-25","achat pdv","Gpos Marche St-Josep     Montr ","Débit","-20.34","10976.78"
"","2026-04-25","achat pdv","Gpos Adonis 21943 An     Anjou ","Débit","-87.09","10997.12"
"","2026-04-24","assurance","Desjardins Secur. Fin. ","Crédit","1235.07","11084.21"
"","2026-04-24","retrait","Virement Interac Grat. ","Débit","-54.00","9849.14"
"","2026-04-24","achat pdv","Gpos Iga Barcelo Mol     Montr ","Débit","-54.52","9903.14"
"","2026-04-23","achat pdv","Gpos Depanneur Chez      Montr ","Débit","-21.78","9957.66"
"","2026-04-22","achat pdv","Gpos Ls 325 F Cuisin     Montr ","Débit","-29.89","9979.44"
"","2026-04-21","achat pdv","Gpos Depanneur Chez      Montr ","Débit","-21.78","10009.33"
"","2026-04-21","achat pdv","Gpos Marche St Josep     Montr ","Débit","-35.24","10031.11"
"","2026-04-20","achat pdv","Gpos Kim Phat #1935      St-La ","Débit","-39.26","10066.35"
"","2026-04-20","achat pdv","Gpos Depanneur Chez      Montr ","Débit","-21.78","10105.61"
"","2026-04-18","achat pdv","Gpos Marche St Josep     Montr ","Débit","-23.17","10127.39"
"","2026-04-18","achat pdv","Gpos Adonis 21942 Se     Montr ","Débit","-70.97","10150.56"
"","2026-04-18","achat pdv","Gpos Rez Gas             Kahna ","Débit","-26.00","10221.53"
"","2026-04-18","achat pdv","Gpos Totem Pole High     Kahna ","Débit","-60.00","10247.53"
"","2026-04-17","achat pdv","Gpos Marche St-Josep     Montr ","Débit","-77.07","10307.53"
"","2026-04-16","achat pdv","Gpos Kim Phat #1935      St-La ","Débit","-39.45","10384.60"
"","2026-04-16","dt trnsfr cl","Achat Placement ","Débit","-1000.00","10424.05"
"","2026-04-15","achat pdv","Gpos Depanneur Chez      Montr ","Débit","-28.78","11424.05"
"","2026-04-15","pmt facture","Pc-Visa Infinite Momentum Scotia 08844850","Débit","-74.68","11452.83"
